continent,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
Americas,2021-02-08,1026788511,167.53211665305972,167.53211665305972,167.53211665305972,167.53211665305972,165.02918030753526,165.02918030753526,165.02918030753526,7773.248172453805,161.94267025945427,114.44034622627366
Asia,2021-02-08,4679006159,58.80276887514703,58.80276887514703,58.80276887514703,58.80276887514703,58.355465609155594,43.227725263127454,33.04850150504373,108.77337985621622,2.1328113697297297,8.14551751052739
Africa,2021-02-08,1371693397,54.464504127776635,54.464504127776635,54.464504127776635,54.464504127776635,51.346940265701505,26.07988962080266,22.13640794489012,1178.5981638511796,21.429057524566904,6.964644665414249
Europe,2021-02-08,747993718,178.28562320764243,178.29476155778582,178.28739758021155,178.28562320764243,178.28254504823562,178.28254504823562,178.281749713523,8736.03886481179,178.28650744513857,98.93148835241956
Oceania,2021-02-08,43202462,-35.46074679469523,-29.558482268966277,-29.558482268966277,-29.558482268966277,-35.46074679469523,-35.46074679469523,-35.46074679469523,-553.6337553631939,-26.36351216015209,2.499975580095412
Americas,2021-02-15,1026788511,171.30200367748162,171.30200367748162,171.30200367748162,171.30200367748162,168.79400434909005,168.79400434909005,168.79400434909005,7939.524545839619,165.40676137165877,118.58413967002403
Asia,2021-02-15,4679006159,59.60693204924161,59.60693204924161,59.60693204924161,59.60693204924161,59.002507764627914,43.9969272175326,33.44755233009445,110.86768127501634,2.173876103431693,8.27360058621372
Africa,2021-02-15,1371693397,56.06055898661125,56.06055898661125,56.06055898661125,56.06055898661125,52.77665120941205,26.749177608102507,22.977237556636204,1194.856853748521,21.72467006815493,7.213242056599329
Europe,2021-02-15,747993718,180.78328657111607,180.79246432042348,180.78536304516413,180.78328657111607,180.78000764084157,180.78000764084157,180.77926773946285,8858.37752453279,180.78321478638347,102.79582775854276
Oceania,2021-02-15,43202462,-35.94749666778794,-29.850743933466337,-29.850743933466337,-29.850743933466337,-35.94749666778794,-35.94749666778794,-35.94749666778794,-561.5538249987914,-26.74065833327578,2.502292577677633
Americas,2021-02-22,1026788511,174.7029185589235,174.7029185589235,174.7029185589235,174.7029185589235,172.1803885138691,172.1803885138691,172.1803885138691,8087.875669962493,168.49740979088529,122.11232640097197
Asia,2021-02-22,4679006159,60.46538984623267,60.46538984623267,60.46538984623267,60.46538984623267,59.81661708573331,44.689149833552115,33.81950818655525,112.02734724958042,2.1966146519525576,8.402260536541432
Africa,2021-02-22,1371693397,57.38294750655186,57.38294750655186,57.38294750655186,57.38294750655186,54.09739518842836,27.819651358376436,23.669190059124652,1208.3482221183485,21.96996767487906,7.4119737123732765
Europe,2021-02-22,747993718,182.68198360068723,182.6913296180536,182.68472599145315,182.68198360068723,182.6785304567869,182.6785304567869,182.67835465146075,8951.377078672334,182.68116487086397,106.08904097774789
Oceania,2021-02-22,43202462,-36.18517312785695,-29.783552429739245,-29.783552429739245,-29.783552429739245,-36.18517312785695,-36.18517312785695,-36.18517312785695,-564.31654966641,-26.872216650781425,2.5115605680065176
Americas,2021-03-01,1026788511,178.75041305339118,178.75041305339118,178.75041305339118,178.75041305339118,176.24103826684504,176.24103826684504,176.24103826684504,8266.906506233669,172.2272188798681,125.72212594614822
Asia,2021-03-01,4679006159,61.35037237978738,61.35037237978738,61.35037237978738,61.35037237978738,60.68636686408679,45.63190481080679,34.30357169784191,116.11046274300577,2.276675740058937,8.545902771058952
Africa,2021-03-01,1371693397,58.88018633050314,58.88018633050314,58.88018633050314,58.88018633050314,55.38338309592414,28.75245125918721,24.295842024285935,1228.7067381357997,22.340122511559994,7.583294650794327
Europe,2021-03-01,747993718,184.51438949812993,184.52437242625314,184.51752835394436,184.51438949812993,184.51095881815942,184.51095881815942,184.51095881815942,9041.165309867754,184.51357775240314,109.03064255413975
Oceania,2021-03-01,43202462,-36.52103629401408,-29.800634316906926,-29.800634316906926,-29.800634316906926,-36.52103629401408,-36.52103629401408,-36.52103629401408,-567.1716657064304,-27.00817455744907,2.5231293531373287
Americas,2021-03-08,1026788511,182.5154886574583,182.5154886574583,182.5154886574583,182.5154886574583,180.03691573142007,180.03691573142007,180.03691573142007,8432.646387455854,175.68013307199698,129.09643298492264
Asia,2021-03-08,4679006159,62.28762700892282,62.28762700892282,62.28762700892282,62.28762700892282,61.529684757481625,46.6932390795856,34.834101285133364,120.34800590235973,2.359764821614897,8.669733041913698
Africa,2021-03-08,1371693397,60.52639317130099,60.52639317130099,60.52639317130099,60.52639317130099,56.8551882618681,29.855260007799927,24.83506988727423,1248.8344911245554,22.7060816568101,7.734202353968174
Europe,2021-03-08,747993718,186.8677593857831,186.8786764066406,186.87169274725255,186.8677593857831,186.86484630540093,186.86484630540093,186.8646030181306,9156.47359886544,186.86680814011103,111.94310030288248
Oceania,2021-03-08,43202462,-36.78171486435712,-29.775332516050117,-29.775332516050117,-29.775332516050117,-36.78171486435712,-36.78171486435712,-36.78171486435712,-569.1158614382518,-27.100755306583416,2.532397343466213
Americas,2021-03-15,1026788511,186.1753191932687,186.1753191932687,186.1753191932687,186.1753191932687,183.73332672558848,183.73332672558848,183.73332672558848,8593.795021357391,179.03739627827898,132.3653652567992
Asia,2021-03-15,4679006159,63.35878264300566,63.35878264300566,63.35878264300566,63.35878264300566,62.741700087957454,47.89568959454611,35.56016451987546,125.43383304876625,2.459486922524828,8.793840529757679
Africa,2021-03-15,1371693397,62.20633892197511,62.20633892197511,62.20633892197511,62.20633892197511,58.27126504021719,31.032860618157095,25.34652670586143,1266.851568355644,23.033664879193523,7.87964352940601
Europe,2021-03-15,747993718,189.7833571161016,189.79503127336702,189.78801321952295,189.7833571161016,189.78058411690404,189.78058411690404,189.78046201987402,9299.320381174377,189.78204859539545,114.80301924139957
Oceania,2021-03-15,43202462,-36.895813785946046,-29.509469071874488,-29.509469071874488,-29.509469071874488,-36.895813785946046,-36.895813785946046,-36.895813785946046,-569.7165226279908,-27.12935822038052,2.5555511165081284
Americas,2021-03-22,1026788511,189.9928751701128,189.9928751701128,189.9928751701128,189.9928751701128,187.5102759964348,187.5102759964348,187.5102759964348,8761.47765902711,182.53078456306483,135.7681130111515
Asia,2021-03-22,4679006159,64.48045304724981,64.48045304724981,64.48045304724981,64.48045304724981,64.169547661115,48.676923761596946,36.322471154806294,128.29629872906753,2.515613700569952,8.983410722627347
Africa,2021-03-22,1371693397,63.94512309432731,63.94512309432731,63.94512309432731,63.94512309432731,59.62207759666319,32.26485950336386,26.007536598701275,1285.3097062503787,23.36926738637052,8.031065633248069
Europe,2021-03-22,747993718,193.39084043325073,193.4032431458035,193.39581414081127,193.39084043325073,193.3881036822008,193.3881036822008,193.38788786194954,9476.078330635655,193.38935368644195,117.74983717176084
Oceania,2021-03-22,43202462,-37.15729025715181,-29.38355745292156,-29.38355745292156,-29.38355745292156,-37.15729025715181,-37.15729025715181,-37.15729025715181,-573.0324457396084,-27.287259320933728,2.5810218871322657
Americas,2021-03-29,1026788511,193.73159114439682,193.73159114439682,193.73159114439682,193.73159114439682,191.18683609798828,191.18683609798828,191.18683609798828,8924.226077092966,185.92137660610345,139.51094881309984
Asia,2021-03-29,4679006159,66.12088889579219,66.12088889579219,66.12088889579219,66.12088889579219,65.99611561366511,50.33403792094685,37.48473234300991,133.7919479490616,2.6233715284129726,9.15229286835397
Africa,2021-03-29,1371693397,65.83932146521211,65.83932146521211,65.83932146521211,65.83932146521211,61.11060858436057,33.64208698358222,26.91889682307011,1304.0092246173997,23.70925862940727,8.181391063443312
Europe,2021-03-29,747993718,197.32347060452224,197.33685022639793,197.32891959596625,197.32347060452224,197.32048675372155,197.32048675372155,197.3201365803891,9668.75971061965,197.3216267473398,120.9691136737595
Oceania,2021-03-29,43202462,-37.14010769434905,-29.10730107479388,-29.10730107479388,-29.10730107479388,-37.14010769434905,-37.14010769434905,-37.14010769434905,-573.9092023055786,-27.329009633598982,2.618061442887213
Americas,2021-04-05,1026788511,197.78426272980812,197.78426272980812,197.78426272980812,197.78426272980812,195.237798000338,195.237798000338,195.237798000338,9099.114770988159,189.56489106225328,143.07439090541206
Asia,2021-04-05,4679006159,68.58803981866063,68.71720081153505,68.71720081153505,68.71720081153505,68.58803981866063,52.602412274763665,38.977473636272755,142.99350462401776,2.803794208314074,9.377533093347655
Africa,2021-04-05,1371693397,68.10572091962177,68.10572091962177,68.10572091962177,68.10572091962177,62.8640662888012,35.36002610216039,28.29079945087151,1332.8186484253629,24.233066335006598,8.316699362226354
Europe,2021-04-05,747993718,201.27288796320337,201.27288796320337,201.27288796320337,201.27288796320337,201.23917415553868,201.23917415553868,201.22728321883832,9858.765332478142,201.1992924995539,124.11914106476493
Oceania,2021-04-05,43202462,-37.574172349703005,-29.387703155900926,-29.387703155900926,-29.387703155900926,-37.574172349703005,-37.574172349703005,-37.574172349703005,-583.3768297851913,-27.77984903739006,2.6597187910263083
